Arrondissement administratif du Jura bernois
Biel (Bienne)
Verwaltungskreis Bern-Mittelland
Verwaltungskreis Emmental
Verwaltungskreis Frutigen-Niedersimmental
Verwaltungskreis Interlaken-Oberhasli
Verwaltungskreis Oberaargau
Verwaltungskreis Obersimmental-Saanen
Verwaltungskreis Seeland
Verwaltungskreis Thun
